"business_id","name","neighborhood","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","attributes__AgesAllowed","attributes__AcceptsInsurance","attributes","attributes__Alcohol","attributes__Ambience","attributes__BYOB","attributes__BYOBCorkage","attributes__BestNights","attributes__BikeParking","attributes__BusinessAcceptsBitcoin","attributes__BusinessAcceptsCreditCards","attributes__BusinessParking","attributes__ByAppointmentOnly","attributes__Caters","attributes__CoatCheck","attributes__Corkage","attributes__DogsAllowed","attributes__DriveThru","attributes__GoodForDancing","attributes__GoodForKids","attributes__HairSpecializesIn","attributes__GoodForMeal","attributes__HappyHour","attributes__HasTV","attributes__Music","attributes__NoiseLevel","attributes__Open24Hours","attributes__OutdoorSeating","attributes__RestaurantsAttire","attributes__RestaurantsCounterService","attributes__RestaurantsDelivery","attributes__RestaurantsGoodForGroups","attributes__RestaurantsPriceRange2","attributes__RestaurantsReservations","attributes__RestaurantsTableService","attributes__RestaurantsTakeOut","attributes__Smoking","attributes__WheelchairAccessible","attributes__WiFi","categories","hours","hours__Monday","hours__Tuesday","hours__Wednesday","hours__Thursday","hours__Friday","hours__Saturday","hours__Sunday"
"Apn5Q_b6Nz61Tq4XzPdf9A","Minhas Micro Brewery","","1314 44 Avenue NE","Calgary","AB","T2E 6L6","51.0918130155","-114.031674872","4.0","24","1","","","","","","","","","False","","True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","","","","","","","","True","","","","True","","average","","False","casual","","False","True","2","True","","True","","","","Tours, Breweries, Pizza, Restaurants, Food, Hotels & Travel","","8:30-17:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0",""
"AjEbIBw6ZFfln7ePHha9PA","CK'S BBQ & Catering","","","Henderson","NV","89002","35.9607337","-114.939821","4.5","3","0","","","","none","","","","","False","","True","{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}","","True","","","True","False","","True","","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}","","False","","","","True","casual","","False","True","2","False","False","True","","True","no","Chicken Wings, Burgers, Caterers, Street Vendors, Barbeque, Food Trucks, Food, Restaurants, Event Planning & Services","","","","","","17:0-23:0","17:0-23:0","17:0-23:0"
"O8S5hYJ1SMc8fA4QBtVujA","La Bastringue","Rosemont-La Petite-Patrie","1335 rue Beaubien E","Montréal","QC","H2G 1K7","45.5405031","-73.5993003","4.0","5","0","","","","beer_and_wine","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","","","","True","","False","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","False","","","","","","True","","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}","","True","","average","","False","casual","","False","True","2","True","True","False","","","free","Breakfast & Brunch, Restaurants, French, Sandwiches, Cafes","","10:0-22:0","10:0-22:0","10:0-22:0","10:0-22:0","10:0-22:0","10:0-22:0","10:0-22:0"
"bFzdJJ3wp3PZssNEsyU23g","Geico Insurance","","211 W Monroe St","Phoenix","AZ","85003","33.4499993","-112.0769793","1.5","8","1","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Insurance, Financial Services","null","","","","","","",""
"8USyCYqpScwiNEb58Bt6CA","Action Engine","","2005 Alyth Place SE","Calgary","AB","T2H 0N5","51.0355914","-114.0273656","2.0","4","1","","","","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Home & Garden, Nurseries & Gardening, Shopping, Local Services, Automotive, Electronics Repair","","8:0-17:0","8:0-17:0","8:0-17:0","8:0-17:0","8:0-17:0","",""
"45bWSZtniwPRiqlivpS8Og","The Coffee Bean & Tea Leaf","","20235 N Cave Creek Rd, Ste 1115","Phoenix","AZ","85024","33.6713751","-112.0300171","4.0","63","1","","","","","","","","","True","","True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","","False","","","","","","","","","","","","","","True","","","","","1","","","True","","True","free","Coffee & Tea, Food","","5:30-20:0","5:30-20:0","5:30-20:0","5:30-20:0","5:30-21:0","5:30-21:0","6:30-19:0"
"9A2quhZLyWk0akUetBd8hQ","Bnc Cake House","Koreatown","631 Bloor St W","Toronto","ON","M6G 1K8","43.6643776","-79.4144238","4.0","7","0","","","","","","","","","","","","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","","","","","","","","","","","","","","","","","","","","1","","","","","","","Food, Bakeries","null","","","","","","",""
"6OuOZAok8ikONMS_T3EzXg","Thai One On","Ridgewood","3417 Derry Road E, Unit 103","Mississauga","ON","L4T 1A8","43.7129464","-79.6327631","2.0","7","1","","","","none","","","","","","","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","","","","","","","True","","","","","","","","False","casual","","","True","2","","False","True","","","","Restaurants, Thai","null","","","","","","",""
"8-NRKkPY1UiFXW20WXKiXg","Filiberto's Mexican Food","","1440 N. Dysart Ave","Avondale","AZ","85323","33.4481059352","-112.341302074","2.5","40","1","","","","none","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","","","","True","","True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","","False","","","","","","True","","{'dessert': False, 'latenight': True, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}","","False","","average","","False","casual","","False","True","1","False","False","True","","True","no","Mexican, Restaurants","","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0"
"UTm5QZThPQlT35mkAcGOjg","Maggie & Stella's Gifts","Oakland","209 Oakland Ave","Pittsburgh","PA","15213","40.4414214","-79.9564571","3.5","3","1","","","","","","","","","True","","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","","","","","","","","","","","","","","","","","","","","2","","","","","","","Flowers & Gifts, Gift Shops, Shopping","","9:0-18:0","9:0-18:0","9:0-18:0","9:0-18:0","9:0-17:0","10:0-17:0",""
"KapTdGyGs7RK0c68Z6hhhg","Sushi 8","Unionville","4568 Highway 7 E","Markham","ON","L3R 1M5","43.862484","-79.3069597","1.5","12","0","","","","","","","","","","","","","","","","","","","","True","","","","","","loud","","","casual","","","True","","","","True","","","","Restaurants, Japanese","","11:30-23:0","11:30-23:0","11:30-23:0","11:30-23:0","11:30-23:0","11:30-23:0","12:0-23:0"
"tZnSodhPwNr4bzrwJ1CSbw","Southern Accent Restaurant","Palmerston","595 Markham Street","Toronto","ON","M6G 2L7","43.6641249","-79.4118861","4.0","146","0","","","","full_bar","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","","","","True","","True","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","","True","","","False","","","False","","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}","","False","","average","","True","casual","","False","True","2","True","True","True","","False","no","Cajun/Creole, Southern, Restaurants","","","17:0-1:0","17:0-1:0","17:0-1:0","17:0-1:0","17:0-1:0","17:0-1:0"
"_c3ixq9jYKxhLUB0czi0ug","Original Hamburger Works","","2801 N 15th Ave","Phoenix","AZ","85007","33.4798071","-112.0911877","4.0","277","1","","","","full_bar","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","False","yes_free","{'monday': False, 'tuesday': True, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}","True","","True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","","False","False","False","","False","False","True","","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}","True","True","{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}","average","","True","casual","","False","True","1","False","False","True","outdoor","True","no","Bars, Sports Bars, Dive Bars, Burgers, Nightlife, Sandwiches, Restaurants","","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-22:0","11:0-21:0"
"bBUMib8l6Me1ZB1_Qkezkg","Mysore Indian Cuisine","Plateau-Mont-Royal","4216 Saint-Laurent Boul","Montréal","QC","H2W 1Z3","45.5180358","-73.5821744","3.5","19","1","","","","full_bar","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","","","","True","","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","","","","","","","True","","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}","","False","","quiet","","False","casual","","True","True","2","True","True","True","","True","no","Restaurants, Pakistani, Indian, Middle Eastern","null","","","","","","",""
"o_zDURWzgt5yM5HW_xGJsg","North Haven Barber Shop","","4404 14 Street NW","Calgary","AB","T2K","51.0918572","-114.094625","4.5","3","1","","","","","","","","","","","","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","False","","","","","","","","","","","","","","","","","","","","","","","","","","","Beauty & Spas, Barbers","","9:30-18:0","9:30-18:0","9:30-18:0","9:30-18:0","9:30-18:0","9:30-18:0",""
"IbTDLI02Sq50C7B-EWK1sg","Safeway Food & Drug","","1200 37 St SW","Calgary","AB","T3C 1S2","51.0424689","-114.1395743","2.5","4","1","","","","","","","","","","","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","","","","","","","","","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}","","","","","","","","","","","2","","","","","","","Delis, Restaurants, Sandwiches","null","","","","","","",""
"r89Re4FNgVWHgBfjCVZyVw","Harlow","Ville-Marie","438 Place Jacques Cartier","Montréal","QC","H2Y 3B3","45.507699","-73.553407","3.5","12","0","","","","full_bar","","","","","True","","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","False","","","False","","","False","","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}","True","False","","average","","True","dressy","","False","True","3","True","","False","","True","free","Nightlife, Bars, American (Traditional), Tapas/Small Plates, Poutineries, Supper Clubs, Restaurants, Tapas Bars","","11:30-23:0","11:30-23:0","11:30-23:0","11:30-3:0","11:30-0:0","11:30-0:0","11:30-23:0"
"hTzcHtk4-0QJnFUbkKpd5Q","Citi Trends","","703 N Rancho Dr","Las Vegas","NV","89106","36.1783477","-115.1769162","4.0","4","1","","","","","","","","","","","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","","","","","","","","","","","","","","","","","","","","2","","","","","","","Shopping, Fashion, Department Stores","null","","","","","","",""
"UwIpS9UKsPiKAv1fiEYhqg","Nevada Title And Payday Loans","","1549 N Rancho Dr","Las Vegas","NV","89106","36.1883858514","-115.186123699","1.0","4","1","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Financial Services, Check Cashing/Pay-day Loans, Title Loans","","10:0-19:0","10:0-18:0","10:0-18:0","10:0-18:0","10:0-19:0","9:0-16:0","8:0-17:0"
"vJIuDBdu01vCA8y1fwR1OQ","CakesbyToi","","3940 Martin Luther King Blvd, Ste 101","Las Vegas","NV","89106","36.1922841","-115.1592718","1.5","3","0","","","","","","","","","True","","True","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","American (Traditional), Food, Bakeries, Restaurants","","","11:0-18:0","11:0-18:0","11:0-18:0","11:0-18:0","11:0-17:0",""
"YZCHr68c5aEVHz0bkq9K2g","Park Stone Pavers","","","Las Vegas","NV","89031","36.2608162","-115.1711298","5.0","20","1","","","","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Home Services, Masonry/Concrete, Professional Services, Contractors","null","","","","","","",""
"gJ5xSt6147gkcZ9Es0WxlA","Rally's Hamburgers","Central","3040 Carnegie Ave","Cleveland","OH","44115","41.4999894","-81.6663746","3.0","5","1","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fast Food, Burgers, Restaurants","null","","","","","","",""
"3ByGQOVgds2YEu6kzl-XEQ","Rib Shop","","4131 N 83rd Ave","Phoenix","AZ","85033","33.4952976","-112.2360764","2.5","3","1","","","","","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","","","","","","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","","False","","","","False","False","","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}","","True","{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': True}","average","","False","casual","","","","1","","True","True","","","free","Nightlife, Bars, American (Traditional), Sports Bars, Restaurants","null","","","","","","",""
"5J3b7j3Fzo9ISjChmoUoUA","Mabel's Bakery","Wychwood","746 Street Clair Avenue W","Toronto","ON","M6C 1B5","43.6813277","-79.4278838","4.0","23","1","","","","","","","","","True","","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","","","","","","","","","","","","","","","False","","","False","","2","","","True","","","no","Food, Bakeries, Coffee & Tea","","7:30-19:0","7:30-19:0","7:30-19:0","7:30-19:0","7:30-19:0","8:0-18:0","9:0-18:0"
"CeuTRtwsq6w5rztGOyNMPg","Salsitas","","7745 W Thomas Rd","Phoenix","AZ","85033","33.4796712","-112.2251729","2.5","14","1","","","","","","","","","","","True","","","","","","","","","True","","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}","","True","","","","False","casual","","False","True","1","False","","True","","","no","Mexican, Restaurants","null","","","","","","",""
"gsoSAb9t7Ar7Ww6O_3GuOg","Los Toros Numero 2","","1204 Bear Ln","Monticello","IL","61856","40.0093278","-88.5763857","3.5","6","0","","","","","","","","","","","","","","","","","","","","True","","","","","","","","","","","","True","1","","True","True","","","","Mexican, Restaurants","","","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:30","11:0-21:30","11:0-21:0"
"guRyrKMBDkcHExGzwxSfvg","ADT Security Services, Inc.","","","Phoenix","AZ","85001","33.4316647997","-112.102958984","1.0","4","1","","","","","","","","","","","True","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","Home Services, Home Automation, Security Systems","","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0"
"PMDlKLd0Mxj0ngCpuUmE5Q","The Coffee Mill Restaurant","Yorkville","99 Yorkville Avenue","Toronto","ON","M5R 3K5","43.6708846","-79.3923788","3.5","25","0","","","","","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","","","","","","True","","","","","","","","","True","","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}","","","","average","","True","casual","","False","True","2","False","","True","","","","Restaurants, Food, Canadian (New), Coffee & Tea","null","","","","","","",""
"65DAbjsiws2_T600pNpWFQ","Laurier Optical","East Credit","1-905 Britannia Road West","Mississauga","ON","L5V 2X8","43.6092686","-79.6990349","1.0","3","1","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Optometrists, Shopping, Eyewear & Opticians, Health & Medical","","10:0-21:0","10:0-21:0","10:0-21:0","10:0-21:0","10:0-21:0","10:0-18:0","11:0-17:0"
"6YC6CsXRrmPv_iwfvc9onA","Teresas Pizzeria","","9525 State Rt 14","Streetsboro","OH","44241","41.2437831","-81.3566613","3.0","11","1","","","","","","","","","","","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","","","","","","","False","","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}","","","","","","False","casual","","True","False","2","False","False","True","","","","Pizza, Restaurants","","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","15:0-21:0"
"42uRhhQDzbtKrUYoBPXS8A","Chicken Lips","","5508 County Rd N, Ste 3","Sun Prairie","WI","53590","43.149488","-89.206641","4.5","102","1","","","","full_bar","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","","","","False","","False","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","","False","False","","","","False","False","","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}","True","True","{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}","average","","True","casual","","False","True","1","False","False","True","outdoor","True","no","Nightlife, Restaurants, Bars, Chicken Wings, American (Traditional)","","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0"
"B_mz59xi-Q3zCIiXsnBM_A","Schonheit Gardens","","3008 County Hwy T","Sun Prairie","WI","53590","43.1223953","-89.2391405","3.5","3","1","","","","","","","","","","","True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","","","","","True","","","","","","","","","","","","","","","","3","","","","","","","Shopping, Gardeners, Home Services, Nurseries & Gardening, Landscaping, Home & Garden, Landscape Architects","","9:0-17:0","9:0-17:0","9:0-17:0","9:0-17:0","9:0-17:0","9:0-17:0","9:0-17:0"
"kgffcoxT6BQp-gJ-UQ7Czw","Subway","Summerlin","2255 N Rampart Blvd","Las Vegas","NV","89128","36.2017936","-115.2819809","2.5","13","1","","","","none","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","","","","True","","True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","","True","","","","False","","True","","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': True, 'brunch': False}","","False","","average","","False","casual","","False","True","1","False","False","True","","","no","Fast Food, Restaurants, Sandwiches","","9:0-21:0","9:0-21:0","9:0-21:0","9:0-21:0","9:0-21:0","9:0-21:0","9:0-21:0"
"0jtRI7hVMpQHpUVtUy4ITw","Omelet House Summerlin","Summerlin","2227 N Rampart Blvd","Las Vegas","NV","89128","36.2019904392","-115.283122245","4.0","242","1","","","","beer_and_wine","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","","","","True","","True","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","False","","","","","","True","","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': True}","","True","","average","","False","casual","","False","True","2","False","True","True","","True","no","Beer, Wine & Spirits, Italian, Food, American (Traditional), Breakfast & Brunch, Restaurants","","7:0-14:30","7:0-19:0","7:0-19:0","7:0-19:0","7:0-19:0","7:0-14:30","7:0-14:30"
