"","user_id","name","review_count","useful","funny","cool","fans","average_stars"
"1","EZmocAborM6z66rTzeZxzQ","Rob",761,18456,12316,17579,298,3.59
"2","myql3o3x22_ygECb8gVo7A","Vivian",80,117,28,104,34,4.29
"3","FIk4lQQu1eTe2EpzQ4xhBA","Carol",841,58,6,5,48,4.15
"4","ojovtd9c8GIeDiB8e0mq2w","Miss Maggie",376,42,51,42,28,3.82
"5","uVEoZmmL9yK0NMgadLL0CQ","Jeremy",28,8,3,3,2,2.97
"6","TprC8sujz8MkwuomrqUSiw","Ramsey",194,5,0,0,9,3.76
"7","De-dImXf-TOFWWPTUWwIvw","Ben",111,18,11,11,4,4.04
"8","vWXDkGEvICWNCjBW_fKBlg","Carrie",260,89,21,17,21,3.73
"9","JMTr179r5SGHC_rPUBSWfQ","Slavisa",30,23,7,2,1,3.42
"10","s7XIFcwZnhEUMzSZ4EiAHA","Javier",96,29,8,8,3,3.39
"11","_NizT4NfEXZP466x8qD8gw","Tina",70,3,1,1,7,3.92
"12","tjmqE-70kkNO3oadBd7ZRQ","Johnny",83,27,4,1,4,3.92
"13","wX6V7MHpgcBPVK0x57y6lw","Denise",14,11,0,0,0,4.21
"14","cTABik0Qu7WrPTElRSYmjA","Chris",75,23,8,5,3,3.83
"15","1uVmN3vSvxCrxijXFwtIrA","Becca",141,9,1,7,12,4.31
"16","CK-W4WhlmLKOZF-50WmmpQ","Jennifer",944,73,91,65,46,3.63
"17","D4NgI92ya7zoCeXnLqz9Kg","Brianna",24,2,0,0,0,4.08
"18","WKbdS0LlutPPBOcb8l4aGg","Mary",106,135,21,39,0,3.53
"19","CXr8GYakp_MJce6Vaj4pWA","David",3,397,326,383,7,4
"20","rbRYymshJoneJQv4E77Vxw","T",11,0,0,0,0,4.91
"21","SFJjlr1y0nxdbHL6-BubmA","Kathryn",30,9,0,0,7,4.42
"22","4FE8md9fMr_jZFNbcOmHsQ","Sam",623,7666,2936,6628,58,3.56
"23","A6-00mpHvkrGrpUW-k0NzQ","Jessika",49,12,4,7,3,3.82
"24","0wBTSc0i-QFVDa_uRLzoZg","Jesse",125,61,3,2,4,4.2
"25","tL2pS5UOmN6aAOi3Z-qFGg","Mark",568,146,75,47,12,3.65
"26","xZ1htr_9ZiOamddSoDWMqw","Juliana",100,37,36,9,13,3.69
"27","XfZ9TO6ZWJLp0vbUCm6g4w","Beth",466,564,157,192,41,4.16
"28","xsIRD5toJQvgECKzY6wMKg","Kristy",35,3,0,0,5,4
"29","LPSNKZWCOweiPHNiJgafng","Alma",128,9,6,4,17,3.62
"30","v10dHdqf42tUkxbYVnFW6w","Chris",591,565,987,743,53,3.23
"31","0o8HUzggoNKay9-ZMj3HqQ","Sarah Jane",523,69,38,10,259,3.96
"32","wTaLeXV7k4c4mmqvhygMgA","Katy",25,14,4,4,1,3.74
"33","kK0QDyfeSwcZl4gGilnW7w","Amy",1243,15,13,16,167,3.75
"34","VVMqxCARIOdUzpqngpFMgA","Wendy",418,591,174,484,59,3.44
"35","9jA5_7o9V4m6i8ZRb4t6LA","Paula",311,651,22,13,21,3.58
"36","F7o19Xwgh-Qtg-8zgkFNiw","Evelyn",314,116,121,131,25,3.55
"37","UrOofvcBl0gAbKPAEaj83A","Louise",338,324,312,321,37,3.91
"38","-ONyyxFUhDatBG3vw6PkUw","Kaitlin",11,1,0,0,0,3.73
"39","js-dHkz_foiPinyW11xHhQ","Evie",21,15,4,2,0,3.82
"40","dvhvyQLEaCsspB2FbaiqaA","Nina",49,7,2,2,4,3.87
"41","3qONc7RtP4aXvcOSKDnszQ","Sunny",84,218,45,17,7,3.79
"42","p03AKnMXXbgetIEHHFP3wQ","Heather",359,1143,481,379,43,3.54
"43","eKc2gY6fPaQy3zNsbIYDvA","Mason",320,197,38,74,24,3.46
